country_name,region,forest_1990,forest_2016,forest_area_change,pct_change,land_1990,land_2016
Grenada,Latin America & Caribbean,169.8999977,169.8999977,,,339.9893,339.9893
Guam,East Asia & Pacific,250,250,,,539.9891,539.9891
Isle of Man,Europe & Central Asia,34.60000038,34.60000038,,,570.0072,570.0072
Jordan,Middle East & North Africa,975,975,,-0.608232863128794,88240.005,88779.9941
Kiribati,East Asia & Pacific,121.4999962,121.4999962,,,809.9966,809.9966
Libya,Middle East & North Africa,2170,2170,,,1759539.9913,1759539.9913
Maldives,South Asia,10,10,,,299.9997,299.9997
Malta,Middle East & North Africa,3.49999994,3.49999994,,,319.9945,319.9945
New Caledonia,East Asia & Pacific,8390,8390,,,18280.0128,18280.0128
Oman,Middle East & North Africa,20,20,,,309500.0013,309500.0013
Saudi Arabia,Middle East & North Africa,9770,9770,,,2149690.0026,2149690.0026
Seychelles,Sub-Saharan Africa,406.6999817,406.6999817,,,460.0099,460.0099
Singapore,East Asia & Pacific,163.5000038,163.5000038,,-5.5013698630137,670.0071,709.0125
South Africa,Sub-Saharan Africa,92410,92410,,,1213090.0068,1213090.0068
St. Kitts and Nevis,Latin America & Caribbean,110,110,,,260.0101,260.0101
Tonga,East Asia & Pacific,90,90,,,719.9941,719.9941
Turkmenistan,Europe & Central Asia,41270,41270,,,469929.9885,469929.9885
Turks and Caicos Islands,Latin America & Caribbean,344.0000153,344.0000153,,,950.012,950.012
Tuvalu,East Asia & Pacific,10,10,,,29.9922,29.9922
Vanuatu,East Asia & Pacific,4400,4400,,,12189.9904,12189.9904
"Yemen, Rep.",Middle East & North Africa,5490,5490,,,527969.9978,527969.9978
West Bank and Gaza,Middle East & North Africa,90.79999924,91.70000076,0.900001519999989,0.991191109617909,6019.9888,6019.9888
"Micronesia, Fed. Sts.",East Asia & Pacific,640,643.0000305,3.00003049999998,,,699.9993
Bahrain,Middle East & North Africa,2.199999988,6.100000143,3.900000155,145.907751281034,690.0019,778.0101
Liechtenstein,Europe & Central Asia,65,69.00000095,4.00000095,6.15384761538462,160.0102,160.0102
St. Vincent and the Grenadines,Latin America & Caribbean,250,270,20,8,390.0022,390.0022
Palau,East Asia & Pacific,380,402.9999924,22.9999924,,,460.0099
Kuwait,Middle East & North Africa,34.50000048,62.5,27.99999952,81.1594177693762,17820.0029,17820.0029
Tajikistan,Europe & Central Asia,4080,4123.999939,43.9999390000003,1.93052610760659,139959.9999,138789.9933
Lebanon,Middle East & North Africa,1310,1373.800049,63.8000489999999,4.87023274809161,10230.0079,10230.0079
Japan,East Asia & Pacific,249500,249564.0039,64.0039000000106,0.0366249574466227,364599.998,364560.0084
Sweden,Europe & Central Asia,280630,280730,100,0.7798016659075,410339.9937,407310.0045
Lesotho,Sub-Saharan Africa,400,500,100,25,30360.0059,30360.0059
Cyprus,Europe & Central Asia,1611.100006,1726.699982,115.599976,7.17522038169492,9240.0063,9240.0063
Belgium,Europe & Central Asia,6670,6838.400269,168.400269,,,30280.0008
Slovak Republic,Europe & Central Asia,19220,19401.99951,181.999510000001,0.988908040535125,48100.0037,48080.0089
Iraq,Middle East & North Africa,8040,8250,210,3.37823177140202,437370.0107,434128.0041
Estonia,Europe & Central Asia,22060,22316.00098,256.000980000001,-1.35277769981018,42390.012,43469.9902
"Egypt, Arab Rep.",Middle East & North Africa,440,735.9999847,295.9999847,67.2727237954546,995450.0017,995450.0017
Netherlands,Europe & Central Asia,3450,3766.000061,316.000061,9.38625498320518,33760.0025,33689.9948
